class,baseline_precision,baseline_recall,baseline_f1,hho_precision,hho_recall,hho_f1,f1_delta_hho_minus_baseline
Non-Stone,0.8686440677966102,0.9669811320754716,0.9151785714285714,0.966824644549763,0.9622641509433962,0.9645390070921986,0.049360435663627245
Stone,0.9672897196261683,0.8697478991596639,0.915929203539823,0.9665271966527197,0.9705882352941176,0.9685534591194969,0.05262425557967387
