model,avg_acc,avg_precision,avg_recall,avg_f1
baseline,0.8237658149342594,0.8577097899459999,0.8231133665588968,0.8097101672629756
hho,0.7718668333333333,0.8138668333333334,0.7718398333333334,0.7531503333333334
